Original Comment,Translated Comment
Can it take me home from the pub without getting done for drink driving?,Can it take me home from the pub without getting done for drink driving?
teach it how to drift,teach it how to drift
This has to be one of the coolest robots.,This has to be one of the coolest robots.
Can you imagine what this will do for people with disabilities someday. The freedom it would bring.,Can you imagine what this will do for people with disabilities someday. The freedom it would bring.
"Yeah I just finished my 30 day trial of FSD and while it is decent, it still struggles a LOT. So much in fact that I can never truly relax. The other day it stopped right in the middle of a turn and just sat there so I took over because If i hadn't, accident waiting to happen. It needs a LOT more work and it is NOT Self-driving in the truest sense of the word. It struggles on highways as well, failing to drive naturally and follow cars at normal distances. Is it worth 8K? No. Is it worth 99 for the month if you're doing a road trip? Hell YES.","Yeah I just finished my 30 day trial of FSD and while it is decent, it still struggles a LOT. So much in fact that I can never truly relax. The other day it stopped right in the middle of a turn and just sat there so I took over because If i hadn't, accident waiting to happen. It needs a LOT more work and it is NOT Self-driving in the truest sense of the word. It struggles on highways as well, failing to drive naturally and follow cars at normal distances. Is it worth 8K? No. Is it worth 99 for the month if you're doing a road trip? Hell YES."
"Driving from CA to MO with FSD was very relaxing.  We would never consider road trips this long without it.  Also, being able to take in the view during the drive is a huge plus.","Driving from CA to MO with FSD was very relaxing.  We would never consider road trips this long without it.  Also, being able to take in the view during the drive is a huge plus."
The engineers working on this have got to be happy with how far it’s come. Congratulations on the continuous progress on a very tough problem!,The engineers working on this have got to be happy with how far it’s come. Congratulations on the continuous progress on a very tough problem!
picking up my Model Y tomorrow w/ full FSD package. Cannot wait!,picking up my Model Y tomorrow w/ full FSD package. Cannot wait!
"Literally had breakfast, while listening to a podcast on my way to a business meeting with FSD. I’m in love. Juniper is next. Im pre-order ready","Literally had breakfast, while listening to a podcast on my way to a business meeting with FSD. I’m in love. Juniper is next. Im pre-order ready"
"I'm glad you made this video, it reminds me of my transformation from a nobody to good home, $89k biweekly and a good daughter full of love..","I'm glad you made this video, it reminds me of my transformation from a nobody to good home, $89k biweekly and a good daughter full of love.."
Thank you Tesla for pushing the automotive industry forward.,Thank you Tesla for pushing the automotive industry forward.
"TESTERS AND TESLA TEAM, THANK YOU!  I am blown away now by how FSD is now.","TESTERS AND TESLA TEAM, THANK YOU!  I am blown away now by how FSD is now."
We love our FSD we use it from Fullerton CA to las Vegas NV 4hour drive such a relax comfortable trip,We love our FSD we use it from Fullerton CA to las Vegas NV 4hour drive such a relax comfortable trip
The thing I like most about this video is just seeing the categorization of scenarios,The thing I like most about this video is just seeing the categorization of scenarios
I had the opportunity to try it last week and it’s truly profound. Dying in car wrecks will be very rare in 10 years.,I had the opportunity to try it last week and it’s truly profound. Dying in car wrecks will be very rare in 10 years.
